Type,OrderDate,PaymentAmount,PaymentCurrency,TotalToPayAmount,TotalToPayCurrency,TotalPaidAmount,TotalPaidCurrency
lineItem,72549563-1e32-11f1-aac0-55b363c79d13,"NCQRO",1,10.20,PLN,23.00,GOODS,,,
lineItem,72549562-1e32-11f1-aac0-55b363c79d13,"SHRO",1,16.13,PLN,,,,,
lineItem,a6824354-1e14-11f1-9c41-536251ced50d,,1,29.00,PLN,23.00,,,,
lineItem,a6824351-1e14-11f1-9c41-536251ced50d,"NCQRO",1,10.20,PLN,23.00,GOODS,,,
lineItem,a6824350-1e14-11f1-9c41-536251ced50d,,1,23.98,PLN,23.00,,,,
lineItem,a6824352-1e14-11f1-9c41-536251ced50d,"NCSRO",1,29.45,PLN,23.00,GOODS,,,
lineItem,71287aa1-1df4-11f1-8d73-45f1d375e116,,1,16.79,PLN,,,,,
lineItem,71287aa0-1df4-11f1-8d73-45f1d375e116,,1,39.00,PLN,23.00,,,,
lineItem,bd87cef1-1de0-11f1-9f1f-97a886ab4a13,,4,9.65,PLN,23.00,,,,
lineItem,bd87cef0-1de0-11f1-9f1f-97a886ab4a13,"CSCAL",1,8.83,PLN,23.00,GOODS,,,
lineItem,a8f7d8a2-1d8f-11f1-b975-e53bd5ddf2d0,,2,16.20,PLN,23.00,,,,
lineItem,a8f7d8a1-1d8f-11f1-b975-e53bd5ddf2d0,"NCDB",2,10.49,PLN,23.00,GOODS,,,
lineItem,58206626-1d55-11f1-9016-219d550a766d,"SHTE",1,17.03,PLN,23.00,GOODS,,,
lineItem,58206625-1d55-11f1-9016-219d550a766d,"SHTE",1,14.47,PLN,23.00,GOODS,,,
lineItem,58206623-1d55-11f1-9016-219d550a766d,"SHAG",1,20.79,PLN,23.00,GOODS,,,
lineItem,651b5260-1d4e-11f1-aa0f-53357b2d984c,,2,39.00,PLN,23.00,,,,
lineItem,a75b37e0-1d48-11f1-b975-e53bd5ddf2d0,,1,13.49,PLN,23.00,,,,
lineItem,a75b37e1-1d48-11f1-b975-e53bd5ddf2d0,"NCQRO",5,10.20,PLN,23.00,GOODS,,,
lineItem,d639df43-1d42-11f1-9016-219d550a766d,"BSAL",1,23.39,PLN,23.00,GOODS,,,
lineItem,d639df42-1d42-11f1-9016-219d550a766d,"SHTE",1,14.47,PLN,23.00,GOODS,,,
lineItem,d639df41-1d42-11f1-9016-219d550a766d,,1,17.99,PLN,23.00,GOODS,,,
lineItem,78447c70-1d41-11f1-b465-1bf4c359f91c,"CSV",5,8.89,PLN,23.00,GOODS,,,
lineItem,0b716171-1d38-11f1-a28a-513ddeb335d0,,1,17.99,PLN,23.00,GOODS,,,
lineItem,0b716170-1d38-11f1-a28a-513ddeb335d0,"CTSR6N",2,18.94,PLN,23.00,GOODS,,,
lineItem,e87053a3-1d2f-11f1-969e-9793d553a96e,"CCFM",2,19.99,PLN,23.00,GOODS,,,
lineItem,e87053a5-1d2f-11f1-969e-9793d553a96e,,4,16.79,PLN,,,,,
lineItem,e87053a4-1d2f-11f1-969e-9793d553a96e,"CTSR6N",1,18.94,PLN,23.00,GOODS,,,
lineItem,e87053a6-1d2f-11f1-969e-9793d553a96e,"SHAG",1,20.79,PLN,23.00,GOODS,,,
lineItem,3659c300-1d1f-11f1-a28a-513ddeb335d0,"NCDAR",1,18.39,PLN,23.00,GOODS,,,
lineItem,3659c302-1d1f-11f1-a28a-513ddeb335d0,"CTSR6N",1,18.94,PLN,23.00,GOODS,,,
lineItem,3659c301-1d1f-11f1-a28a-513ddeb335d0,,1,23.99,PLN,23.00,,,,
